,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x16,x17,d1,d2,d3,d4,d5,d6,d7,d8,theta1,theta2
3,16.18117203,20.35195862,21.80818515,2.978201772,-0.324933862,12.40556522,7.214599332,11.63553566,34.08833574,12.41038338,23.4865442,49.83800985,0.429221227,58,108,1.906714403,0.803647288,2.097068106,2.054966435,6.693243167,3.534424879,0.63680874,1.162523505,0.549955247,0.418951284
10,12.8809927,20.34609252,17.60391839,2.757937867,1.899456726,11.02691042,7.63881708,10.11234377,30.05564963,12.59313197,26.73937054,43.81489183,0.636159468,58,100,1.618234034,0.776764442,1.423152527,1.665248738,6.484951464,2.858696399,0.343280237,0.985676679,0.46195427,0.264075494
18,13.2768176,21.14225034,16.66057016,2.089142588,0.797820351,9.408768375,3.225038389,8.258952232,26.24000958,9.412422613,18.50423475,35.85786169,2.240505534,51,93,1.583546016,0.741258217,1.444656722,1.325871391,5.712959824,2.931083281,0.423714196,0.915991787,0.318672848,0.367099437
20,16.2039025,21.78992558,19.48321693,2.660886374,0.171016915,11.09195707,3.668284597,11.71469787,28.74263657,17.56089209,27.75039086,45.71815347,4.808399852,61,108,1.876909514,0.789198517,1.525714392,2.236692069,7.492416242,2.970780238,0.483388225,1.247106328,0.289674909,0.588379149
21,13.64736794,20.87148353,19.77781455,3.220209108,0.376196579,11.37280662,10.60023726,11.32547248,29.67268636,12.1012356,23.27436546,43.00988685,1.741579329,56.5,104,1.819697859,0.68895483,1.952761365,1.04498982,6.210296854,2.736369891,0.745769373,1.074695866,0.300762347,0.494592676
27,14.3219191,23.10741701,19.6334754,2.44686728,0.889965333,11.17543687,5.740229693,10.29254145,32.11581858,14.00188977,22.31856356,44.15925055,6.933613095,60,99,2.008698341,0.60615141,1.474105678,1.657590639,6.155201492,2.603380932,0.610135932,0.655458677,0.569747234,0.504074837
28,16.07614325,23.84265762,20.0949337,1.408321904,0.311132169,10.71742883,4.98218741,10.13997735,29.77063564,16.57861211,24.95229719,42.37353806,8.407732637,59,100,1.941527698,0.581079008,1.843431931,1.26551631,6.989850277,3.197079613,0.680732028,1.21764601,0.266379087,0.370842707
33,14.52223073,21.95079063,20.87057072,2.221173823,0.006690137,11.54917562,3.194665523,9.907507022,32.24621312,14.07036887,23.38632472,46.88279213,4.525177267,58,105,1.842551203,0.974284471,1.779597428,1.993245119,7.606177576,3.437274761,0.861571251,1.018618501,0.492703909,0.464000868
40,12.64659719,21.07022038,17.28891603,3.07276538,-0.322926214,9.459243429,5.049655386,7.837414037,26.32137302,12.75434308,19.28416349,37.52852013,4.069381446,55,91,1.801844933,0.626425462,1.342966927,1.352774017,6.173914699,3.046557957,0.455813639,1.104287075,0.273008063,0.459467688
44,15.02444928,19.60103298,21.1613165,3.568303292,1.135391294,13.1945484,8.327397621,10.95672125,32.36035229,12.23619321,24.7006786,49.02208129,0.414290327,61,117,1.92677454,0.664678755,1.922480588,1.714265934,6.85488036,3.25163721,0.662086339,1.16891779,0.57648164,0.502264514
