,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x16,x17,d9,d10,d11,d12,d13,d14,d15,d16,theta3,theta4
3,16.18117203,20.35195862,21.80818515,2.978201772,-0.324933862,12.40556522,7.214599332,11.63553566,34.08833574,12.41038338,23.4865442,49.83800985,0.429221227,58,108,1.941107073,0.768721622,1.985345516,2.047897157,6.783229509,3.524012079,0.691191049,1.260940161,0.481824904,0.476770732
10,12.8809927,20.34609252,17.60391839,2.757937867,1.899456726,11.02691042,7.63881708,10.11234377,30.05564963,12.59313197,26.73937054,43.81489183,0.636159468,58,100,1.43207291,0.639398214,1.413341316,1.274676801,5.848661844,2.683685206,0.288867009,0.915298427,0.376971872,0.294612537
18,13.2768176,21.14225034,16.66057016,2.089142588,0.797820351,9.408768375,3.225038389,8.258952232,26.24000958,9.412422613,18.50423475,35.85786169,2.240505534,51,93,1.626055101,0.674479641,1.454640772,1.426131483,5.47453138,3.023065305,0.501774558,0.947809581,0.218264133,0.52049362
20,16.2039025,21.78992558,19.48321693,2.660886374,0.171016915,11.09195707,3.668284597,11.71469787,28.74263657,17.56089209,27.75039086,45.71815347,4.808399852,61,108,2.2677095,0.622445857,1.335767338,2.198913574,7.358553856,2.975054407,0.418125695,1.145983078,0.155205607,0.615146243
21,13.64736794,20.87148353,19.77781455,3.220209108,0.376196579,11.37280662,10.60023726,11.32547248,29.67268636,12.1012356,23.27436546,43.00988685,1.741579329,56.5,104,1.945782712,0.630277771,2.004994697,1.136212638,6.496520731,2.922176702,0.592451873,1.188527662,0.253531294,0.754601772
27,14.3219191,23.10741701,19.6334754,2.44686728,0.889965333,11.17543687,5.740229693,10.29254145,32.11581858,14.00188977,22.31856356,44.15925055,6.933613095,60,99,2.29350085,0.645821639,1.742148516,1.283430542,6.636263633,2.990293016,0.612714238,0.802451553,0.451337241,0.516689786
28,16.07614325,23.84265762,20.0949337,1.408321904,0.311132169,10.71742883,4.98218741,10.13997735,29.77063564,16.57861211,24.95229719,42.37353806,8.407732637,59,100,2.003878033,0.746995585,1.925814424,1.802140235,7.377880503,3.279820417,0.738300072,1.167598977,0.143403352,0.337602326
33,14.52223073,21.95079063,20.87057072,2.221173823,0.006690137,11.54917562,3.194665523,9.907507022,32.24621312,14.07036887,23.38632472,46.88279213,4.525177267,58,105,1.588127214,0.836161505,1.557258434,1.691542387,6.654807269,2.905682316,0.697523925,1.116670334,0.370352207,0.496804817
40,12.64659719,21.07022038,17.28891603,3.07276538,-0.322926214,9.459243429,5.049655386,7.837414037,26.32137302,12.75434308,19.28416349,37.52852013,4.069381446,55,91,1.974869049,0.805212413,1.484476461,1.398746592,6.642369112,3.006597409,0.488760727,1.158503822,0.374762542,0.545787923
44,15.02444928,19.60103298,21.1613165,3.568303292,1.135391294,13.1945484,8.327397621,10.95672125,32.36035229,12.23619321,24.7006786,49.02208129,0.414290327,61,117,2.229628489,0.863933512,1.803097601,1.897436152,7.954517981,3.158937707,0.558201612,1.16864472,0.398947775,0.628459432
48,13.98666474,20.05913554,19.10885503,3.469708691,0.258302265,10.53426015,7.690992759,8.062101931,28.41594546,11.15828804,19.93376851,41.60590145,1.883519638,57,93,2.194628852,0.508357488,1.27967428,1.427792141,6.361954956,2.944863305,0.534960902,1.161213662,0.266564936,0.590940751
50,14.94795482,22.46780227,19.91532027,3.191182228,0.254560017,12.44055594,9.474827066,11.50386236,36.83947574,17.5585764,28.61464922,54.1019526,4.862638963,65,131,2.173058193,0.683673482,1.758982265,1.550954076,6.980338858,3.275278345,0.533728702,1.101514195,0.494698186,0.547123246
51,13.60915643,22.61773709,21.23761003,3.300315191,1.107066744,11.49920969,8.712172092,9.215768705,30.69972496,15.40863957,24.04574133,45.7858441,6.487356394,59,122,1.746067413,0.769822292,1.480519017,1.464480822,5.810831184,2.668472377,0.474895805,1.096780434,0.508027084,0.564534732
58,14.3408799,21.76389341,20.9371443,2.958259871,0.476494566,11.84681383,4.399426406,10.3247986,32.42285891,13.72274111,22.54405567,47.17941649,4.06544087,58,115,1.713469563,0.687679573,1.646208706,1.602158932,6.509138226,3.008256156,0.35859345,1.150908575,0.417921648,0.760696383
59,14.42155324,22.73783152,21.00457223,2.401764615,-0.035169285,12.445998,5.144202055,10.25681751,31.21377276,15.02010595,24.89518813,47.51210347,5.401475366,55,111,2.100591773,0.875648075,1.048266126,1.276388704,6.452104353,2.565757713,0.392752747,1.150908575,0.238968765,0.760696383
60,14.1384968,20.67371901,19.05464787,3.535985966,0.867499552,11.87633731,4.748684649,10.27162589,30.44489643,13.86110824,25.53771207,44.48913658,2.766699257,54,100,1.781303712,0.643376511,1.38903808,1.395848849,6.151672058,3.242430059,0.448920922,0.888349866,0.354124169,0.327055624
